,Var,bin,bin_range,bin_num,bin_good_num,bin_bad_num,bin_rate,good_bin_rate,bad_bin_rate,bin_rate_cum,good_bin_rate_cum,bad_bin_rate_cum,good_rate,bad_rate,woe,iv
72,funded_amnt_inv,3,"[19750.0, 29100.0]",5174,3684,1490,0.16627032585641752,0.15756383388221204,0.19258110378699755,0.8904813934057458,0.8988494931782216,0.8651932273491018,0.7120216466950136,0.28797835330498645,0.20068671272589148,0.007027500785826695
73,funded_amnt_inv,4,"[29100.0, 40039.99999999999]",3408,2365,1043,0.10951860659425412,0.10115050682177837,0.13480677265089827,1.0,1.0,1.0,0.6939553990610329,0.3060446009389671,0.28723286523632297,0.009667185667253459
74,tot_hi_cred_lim,0,"[2497.5, 51100.0]",6961,4819,2142,0.22369689568738352,0.2061075232026004,0.276851492826677,0.22369689568738352,0.2061075232026004,0.276851492826677,0.6922855911506968,0.30771440884930323,0.29508324552894516,0.02087536015827363
75,tot_hi_cred_lim,1,"[51100.0, 130400.0]",8798,6344,2454,0.2827302525869272,0.27133142295025875,0.3171772004652966,0.5064271482743107,0.47743894615285914,0.5940286932919736,0.7210729711298022,0.27892702887019777,0.15611957311775682,0.007157423214899367
76,tot_hi_cred_lim,2,"[130400.0, 304495.0]",8621,6749,1872,0.2770422263641622,0.2886531799324238,0.2419542458317177,0.7834693746384729,0.7660921260852829,0.8359829391236913,0.7828558171905812,0.21714418280941886,-0.17647725654428528,0.00824129977363498
77,tot_hi_cred_lim,3,"[304495.0, 501057.0]",4824,3896,928,0.1550228163763738,0.16663102519139472,0.1199431304123045,0.9384921910148467,0.9327231512766776,0.9559260695359958,0.8076285240464345,0.19237147595356552,-0.32876422081464124,0.015349309348523552
78,tot_hi_cred_lim,4,"[501057.0, 3104949.8479999998]",1914,1573,341,0.06150780898515329,0.06727684872332236,0.04407393046400414,1.0,1.0,0.9999999999999999,0.8218390804597702,0.1781609195402299,-0.42294771461317715,0.009813621250135001
79,funded_amnt,0,"[999.0, 3325.0]",1996,1661,335,0.06414293977762067,0.07104058851203969,0.04329843608633838,0.06414293977762067,0.07104058851203969,0.04329843608633838,0.8321643286573146,0.16783567134268537,-0.49513486662664435,0.013736106941235659
80,funded_amnt,1,"[3325.0, 7025.0]",5646,4550,1096,0.18143839578379073,0.19460245498481674,0.14165697298694585,0.2455813355614114,0.2656430434968564,0.18495540907328423,0.8058802692171448,0.19411973078285513,-0.31755033327545124,0.016812855453853304
81,funded_amnt,2,"[7025.0, 9300.0]",2838,2236,602,0.09120123401246867,0.09563320644968136,0.07780793589246478,0.3367825695738801,0.3612762499465378,0.262763344965749,0.7878787878787878,0.21212121212121213,-0.20627667780458475,0.003676937591510516
82,funded_amnt,3,"[9300.0, 16000.0]",10272,7586,2686,0.33009833536859695,0.32445147769556476,0.34716298306837273,0.6668809049424771,0.6857277276421025,0.6099263280341217,0.73851246105919,0.26148753894080995,0.06765836599592265,0.0015366233428318055
83,funded_amnt,4,"[16000.0, 21250.0]",3825,2739,1086,0.12291921074619191,0.11714640092382704,0.1403644823575029,0.789800115688669,0.8028741285659295,0.7502908103916246,0.716078431372549,0.283921568627451,0.18081804239238658,0.004198248032944285
84,funded_amnt,5,"[21250.0, 40039.99999999999]",6541,4609,1932,0.21019988431133108,0.1971258714340704,0.24970918960837535,1.0,1.0,1.0,0.7046323192172451,0.29536768078275494,0.23645453321353913,0.012433563953724285
85,open_il_24m,0,"[-0.001, 3.0]",27224,20495,6729,0.8748634230991709,0.876566442838202,0.869716944552152,0.8748634230991709,0.876566442838202,0.869716944552152,0.7528283867176021,0.2471716132823979,-0.007844698588535929,5.373224953675547e-05
86,open_il_24m,1,"[3.0, 22.022]",3894,2886,1008,0.1251365769008291,0.12343355716179805,0.130283055447848,1.0,1.0,1.0,0.7411402157164869,0.2588597842835131,0.054006420459081564,0.00036991688437017174
87,open_il_12m,0,"[-0.001, 1.0]",25880,19483,6397,0.831672986695803,0.8332834352679526,0.8268062556546465,0.831672986695803,0.8332834352679526,0.8268062556546465,0.7528207109737249,0.24717928902627512,-0.007803448834165611,5.0544339702134534e-05
88,open_il_12m,1,"[1.0, 11.011]",5238,3898,1340,0.16832701330419692,0.16671656473204738,0.1731937443453535,1.0,1.0,1.0,0.7441771668575792,0.25582283314242077,0.03811572403903508,0.0002468823906920403
89,open_rv_12m,0,"[-0.001, 1.0]",19256,14708,4548,0.6188058358506331,0.6290577819597108,0.5878247382706475,0.6188058358506331,0.6290577819597108,0.5878247382706475,0.7638138761944329,0.23618612380556708,-0.06779427638915195,0.002795364360222337
90,open_rv_12m,1,"[1.0, 2.0]",5888,4364,1524,0.18921524519570668,0.18664727770411874,0.19697557192710352,0.8080210810463397,0.8157050596638296,0.784800310197751,0.7411684782608695,0.25883152173913043,0.053859100455214144,0.0005562726360867455
91,open_rv_12m,2,"[2.0, 3.0]",3034,2207,827,0.09749983932129314,0.09439288311021769,0.10688897505493085,0.9055209203676329,0.9100979427740472,0.8916892852526819,0.7274225444957152,0.27257745550428475,0.12432499992853892,0.001553576630133479
92,open_rv_12m,3,"[3.0, 28.028]",2940,2102,838,0.09447907963236712,0.0899020572259527,0.10831071474731808,1.0,0.9999999999999999,1.0,0.7149659863945578,0.28503401360544217,0.18628326020677072,0.003429224739109836
93,mo_sin_old_il_acct,0,"[0.999, 50.0]",3250,2231,1019,0.10444115945754869,0.0954193575980497,0.13170479514023523,0.10444115945754869,0.0954193575980497,0.13170479514023523,0.6864615384615385,0.31353846153846154,0.3222815499517762,0.011694127051773919
94,mo_sin_old_il_acct,1,"[50.0, 155.0]",20250,15396,4854,0.6507487627739572,0.6584833839442282,0.6273749515316014,0.7551899222315059,0.7539027415422779,0.7590797466718366,0.7602962962962962,0.2397037037037037,-0.048394916955506115,0.0015054900032250506
95,mo_sin_old_il_acct,2,"[155.0, 665.665]",6902,5275,1627,0.22180088694646186,0.2256105384714084,0.21028822541036576,0.9769908091779678,0.9795132800136863,0.9693679720822024,0.7642712257316719,0.23572877426832803,-0.07033113996364548,0.0010776357444629836
96,mo_sin_old_il_acct,-9999,[-9999],716,479,237,0.023009190822032264,0.020486719986313674,0.030632027917797598,1.0,1.0,1.0,0.6689944134078212,0.33100558659217877,0.4022692548857999,0.004081145462185034
97,avg_cur_bal,0,"[-0.001, 2700.0]",6130,4402,1728,0.1969920946076226,0.1882725289765194,0.22334238076773943,0.1969920946076226,0.1882725289765194,0.22334238076773943,0.7181076672104405,0.28189233278955955,0.17081539843917806,0.005990470706920175
98,avg_cur_bal,1,"[2700.0, 18097.0]",16116,11815,4301,0.5178996079439553,0.5053248364056285,0.555900219723407,0.7148917025515779,0.6935973653821479,0.7792426004911464,0.7331223628691983,0.2668776371308017,0.0953873543243119,0.004824252008620826
