Var,bin,bin_range,bin_num,bin_good_num,bin_bad_num,bin_rate,good_bin_rate,bad_bin_rate,bin_rate_cum,good_bin_rate_cum,bad_bin_rate_cum,good_rate,bad_rate,woe,iv
zip_code,2,"['490xx', '362xx', '244xx', '221xx', '138xx', '391xx', '393xx', '014xx', '930xx', '410xx', '217xx', '351xx', '212xx', '540xx', '834xx', '295xx', '448xx', '492xx', '468xx', '334xx', '145xx', '350xx', '087xx', '031xx', '298xx', '775xx', '482xx', '208xx', '024xx', '065xx', '910xx', '461xx', '773xx', '900xx', '731xx', '640xx', '827xx', '825xx', '948xx', '035xx', '994xx', '066xx', '047xx', '904xx', '937xx', '045xx', '859xx', '664xx', '010xx', '491xx', '541xx', '543xx', '636xx', '136xx', '712xx', '710xx', '218xx', '693xx', '734xx', '690xx', '571xx', '581xx', '588xx', '611xx', '674xx', '672xx', '171xx', '169xx', '629xx', '140xx', '469xx', '163xx', '396xx', '274xx', '424xx', '242xx', '755xx', '241xx', '438xx', '271xx', '355xx', '767xx', '319xx', '707xx', '467xx', '074xx', '729xx', '233xx', '685xx', '815xx', '230xx', '915xx', '128xx', '130xx', '238xx', '914xx', '361xx', '126xx', '061xx', '037xx', '631xx', '997xx', '082xx', '373xx', '546xx', '939xx', '323xx', '658xx', '144xx', '341xx', '594xx', '680xx', '565xx', '283xx', '855xx', '439xx', '447xx', '614xx', '730xx', '624xx', '778xx', '591xx', '079xx', '757xx', '544xx', '703xx', '376xx', '487xx', '955xx', '898xx', '741xx', '763xx', '766xx', '321xx', '122xx', '882xx', '357xx', '740xx', '683xx', '916xx', '562xx', '436xx', '722xx', '768xx', '125xx', '657xx', '489xx', '744xx', '239xx', '769xx', '743xx', '127xx', '918xx', '148xx', '083xx', '687xx', '708xx', '364xx', '177xx', '655xx', '485xx', '475xx', '141xx', '496xx', '726xx', '237xx', '110xx', '165xx', '684xx', '793xx', '783xx', '016xx', '170xx', '395xx', '797xx', '737xx', '106xx', '746xx', '367xx', '398xx', '417xx', '318xx', '976xx', '090xx', '735xx', '051xx', '149xx', '669xx', '185xx', '676xx', '691xx', '713xx', '586xx', '824xx', '158xx', '542xx', '166xx', '688xx', '198xx', '390xx', '420xx', '686xx', '118xx', '183xx', '143xx', '764xx', '881xx', '807xx', '358xx', '089xx', '635xx', '654xx', '877xx', '651xx', '219xx', '574xx', '246xx', '823xx', '998xx', '736xx', '412xx', '415xx', '416xx', '575xx', '369xx', '792xx']",4768,3031,1737,0.153223215,0.129635174,0.224505622,1,1,1,0.635696309,0.364303691,0.5491766,0.05210063
addr_state,0,"['DC', 'VT', 'ME', 'RI', 'OR', 'WA', 'SC', 'ID', 'CO', 'GA', 'UT', 'HI']",4087,3326,761,0.131338775,0.142252256,0.098358537,0.131338775,0.142252256,0.098358537,0.813799853,0.186200147,-0.368982591,0.016196018
addr_state,1,"['WY', 'ND', 'KS', 'AZ', 'NH', 'TN', 'CT', 'WI', 'IL', 'NC', 'MN', 'VA', 'PA', 'OH', 'KY']",8264,6315,1949,0.265569767,0.2700911,0.251906424,0.396908542,0.412343356,0.350264961,0.764157793,0.235842207,-0.069701624,0.001267501
addr_state,2,"['IN', 'FL', 'AR', 'CA', 'NM', 'MT', 'MA', 'TX', 'NV', 'SD', 'MI']",12555,9318,3237,0.403464233,0.39852872,0.418379217,0.800372775,0.810872076,0.768644177,0.742174432,0.257825568,0.048608673,0.000964906
addr_state,3,"['AL', 'MD', 'NY', 'LA', 'NJ', 'MO', 'AK', 'MS', 'DE', 'NE', 'OK']",6212,4422,1790,0.199627225,0.189127924,0.231355823,1,1,1,0.711848036,0.288151964,0.201533249,0.008510326
dti,0,"[-inf, 16.34]",13779,11019,2760,0.44279838,0.471280099,0.356727414,0.44279838,0.471280099,0.356727414,0.799695188,0.200304812,-0.278480665,0.031900708
dti,1,"[16.34, 22.88]",8344,6240,2104,0.268140626,0.266883367,0.271940028,0.710939006,0.738163466,0.628667442,0.747842761,0.252157239,0.018769824,9.49E-05
dti,2,"[22.88, 27.52]",4440,3135,1305,0.142682692,0.13408323,0.168670027,0.853621698,0.872246696,0.797337469,0.706081081,0.293918919,0.229483578,0.007937102
dti,3,"[27.52, inf]",4546,2981,1565,0.14608908,0.127496685,0.202274784,0.999710778,0.999743381,0.999612253,0.655741311,0.344258689,0.46153672,0.034512838
dti,4,[-9999.0],9,6,3,0.000289222,0.000256619,0.000387747,1,1,1,0.666666667,0.333333333,0.412762531,5.41E-05
